Municipio;Microrregiao;Mesorregiao;Uf_nome;Uf;Regiao
Três Barras do Paraná;Cascavel;Oeste Paranaense;Paraná;PR;Sul
Tunas do Paraná;Curitiba;Metropolitana de Curitiba;Paraná;PR;Sul
Tuneiras do Oeste;Cianorte;Noroeste Paranaense;Paraná;PR;Sul
Tupãssi;Toledo;Oeste Paranaense;Paraná;PR;Sul
Turvo;Guarapuava;Centro-Sul Paranaense;Paraná;PR;Sul
Ubiratã;Goioerê;Centro Ocidental Paranaense;Paraná;PR;Sul
Umuarama;Umuarama;Noroeste Paranaense;Paraná;PR;Sul
União da Vitória;União da Vitória;Sudeste Paranaense;Paraná;PR;Sul
Uniflor;Astorga;Norte Central Paranaense;Paraná;PR;Sul
Uraí;Assaí;Norte Pioneiro Paranaense;Paraná;PR;Sul
Wenceslau Braz;Wenceslau Braz;Norte Pioneiro Paranaense;Paraná;PR;Sul
Ventania;Telêmaco Borba;Centro Oriental Paranaense;Paraná;PR;Sul
Vera Cruz do Oeste;Foz do Iguaçu;Oeste Paranaense;Paraná;PR;Sul
Verê;Francisco Beltrão;Sudoeste Paranaense;Paraná;PR;Sul
Alto Paraíso;Umuarama;Noroeste Paranaense;Paraná;PR;Sul
Doutor Ulysses;Cerro Azul;Metropolitana de Curitiba;Paraná;PR;Sul
Virmond;Guarapuava;Centro-Sul Paranaense;Paraná;PR;Sul
Vitorino;Pato Branco;Sudoeste Paranaense;Paraná;PR;Sul
Xambrê;Umuarama;Noroeste Paranaense;Paraná;PR;Sul
Abdon Batista;Curitibanos;Serrana;Santa Catarina;SC;Sul
Abelardo Luz;Xanxerê;Oeste Catarinense;Santa Catarina;SC;Sul
Agrolândia;Ituporanga;Vale do Itajaí;Santa Catarina;SC;Sul
Agronômica;Rio do Sul;Vale do Itajaí;Santa Catarina;SC;Sul
Água Doce;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Águas de Chapecó;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Águas Frias;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Águas Mornas;Tabuleiro;Grande Florianópolis;Santa Catarina;SC;Sul
Alfredo Wagner;Tabuleiro;Grande Florianópolis;Santa Catarina;SC;Sul
Alto Bela Vista;Concórdia;Oeste Catarinense;Santa Catarina;SC;Sul
Anchieta;São Miguel do Oeste;Oeste Catarinense;Santa Catarina;SC;Sul
Angelina;Tijucas;Grande Florianópolis;Santa Catarina;SC;Sul
Anita Garibaldi;Campos de Lages;Serrana;Santa Catarina;SC;Sul
Anitápolis;Tabuleiro;Grande Florianópolis;Santa Catarina;SC;Sul
Antônio Carlos;Florianópolis;Grande Florianópolis;Santa Catarina;SC;Sul
Apiúna;Blumenau;Vale do Itajaí;Santa Catarina;SC;Sul
Arabutã;Concórdia;Oeste Catarinense;Santa Catarina;SC;Sul
Araquari;Joinville;Norte Catarinense;Santa Catarina;SC;Sul
Araranguá;Araranguá;Sul Catarinense;Santa Catarina;SC;Sul
Armazém;Tubarão;Sul Catarinense;Santa Catarina;SC;Sul
Arroio Trinta;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Arvoredo;Concórdia;Oeste Catarinense;Santa Catarina;SC;Sul
Ascurra;Blumenau;Vale do Itajaí;Santa Catarina;SC;Sul
Atalanta;Ituporanga;Vale do Itajaí;Santa Catarina;SC;Sul
Aurora;Rio do Sul;Vale do Itajaí;Santa Catarina;SC;Sul
Balneário Arroio do Silva;Araranguá;Sul Catarinense;Santa Catarina;SC;Sul
Balneário Camboriú;Itajaí;Vale do Itajaí;Santa Catarina;SC;Sul
Balneário Barra do Sul;Joinville;Norte Catarinense;Santa Catarina;SC;Sul
Balneário Gaivota;Araranguá;Sul Catarinense;Santa Catarina;SC;Sul
Bandeirante;São Miguel do Oeste;Oeste Catarinense;Santa Catarina;SC;Sul
Barra Bonita;São Miguel do Oeste;Oeste Catarinense;Santa Catarina;SC;Sul
Barra Velha;Itajaí;Vale do Itajaí;Santa Catarina;SC;Sul
Bela Vista do Toldo;Canoinhas;Norte Catarinense;Santa Catarina;SC;Sul
Belmonte;São Miguel do Oeste;Oeste Catarinense;Santa Catarina;SC;Sul
Benedito Novo;Blumenau;Vale do Itajaí;Santa Catarina;SC;Sul
Biguaçu;Florianópolis;Grande Florianópolis;Santa Catarina;SC;Sul
Blumenau;Blumenau;Vale do Itajaí;Santa Catarina;SC;Sul
Bocaina do Sul;Campos de Lages;Serrana;Santa Catarina;SC;Sul
Bombinhas;Itajaí;Vale do Itajaí;Santa Catarina;SC;Sul
Bom Jardim da Serra;Campos de Lages;Serrana;Santa Catarina;SC;Sul
Bom Jesus;Xanxerê;Oeste Catarinense;Santa Catarina;SC;Sul
Bom Jesus do Oeste;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Bom Retiro;Campos de Lages;Serrana;Santa Catarina;SC;Sul
Botuverá;Blumenau;Vale do Itajaí;Santa Catarina;SC;Sul
Braço do Norte;Tubarão;Sul Catarinense;Santa Catarina;SC;Sul
Braço do Trombudo;Rio do Sul;Vale do Itajaí;Santa Catarina;SC;Sul
Brunópolis;Curitibanos;Serrana;Santa Catarina;SC;Sul
Brusque;Blumenau;Vale do Itajaí;Santa Catarina;SC;Sul
Caçador;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Caibi;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Calmon;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Camboriú;Itajaí;Vale do Itajaí;Santa Catarina;SC;Sul
Capão Alto;Campos de Lages;Serrana;Santa Catarina;SC;Sul
Campo Alegre;São Bento do Sul;Norte Catarinense;Santa Catarina;SC;Sul
Campo Belo do Sul;Campos de Lages;Serrana;Santa Catarina;SC;Sul
Campo Erê;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Campos Novos;Curitibanos;Serrana;Santa Catarina;SC;Sul
Canelinha;Tijucas;Grande Florianópolis;Santa Catarina;SC;Sul
Canoinhas;Canoinhas;Norte Catarinense;Santa Catarina;SC;Sul
Capinzal;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Capivari de Baixo;Tubarão;Sul Catarinense;Santa Catarina;SC;Sul
Catanduvas;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Caxambu do Sul;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Celso Ramos;Campos de Lages;Serrana;Santa Catarina;SC;Sul
Cerro Negro;Campos de Lages;Serrana;Santa Catarina;SC;Sul
Chapadão do Lageado;Ituporanga;Vale do Itajaí;Santa Catarina;SC;Sul
Chapecó;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Cocal do Sul;Criciúma;Sul Catarinense;Santa Catarina;SC;Sul
Concórdia;Concórdia;Oeste Catarinense;Santa Catarina;SC;Sul
Cordilheira Alta;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Coronel Freitas;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Coronel Martins;Xanxerê;Oeste Catarinense;Santa Catarina;SC;Sul
Corupá;Joinville;Norte Catarinense;Santa Catarina;SC;Sul
Correia Pinto;Campos de Lages;Serrana;Santa Catarina;SC;Sul
Criciúma;Criciúma;Sul Catarinense;Santa Catarina;SC;Sul
Cunha Porã;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Cunhataí;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Curitibanos;Curitibanos;Serrana;Santa Catarina;SC;Sul
Descanso;São Miguel do Oeste;Oeste Catarinense;Santa Catarina;SC;Sul
Dionísio Cerqueira;São Miguel do Oeste;Oeste Catarinense;Santa Catarina;SC;Sul
Dona Emma;Rio do Sul;Vale do Itajaí;Santa Catarina;SC;Sul
Doutor Pedrinho;Blumenau;Vale do Itajaí;Santa Catarina;SC;Sul
Entre Rios;Xanxerê;Oeste Catarinense;Santa Catarina;SC;Sul
Ermo;Araranguá;Sul Catarinense;Santa Catarina;SC;Sul
Erval Velho;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Faxinal dos Guedes;Xanxerê;Oeste Catarinense;Santa Catarina;SC;Sul
Flor do Sertão;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Florianópolis;Florianópolis;Grande Florianópolis;Santa Catarina;SC;Sul
Formosa do Sul;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Forquilhinha;Criciúma;Sul Catarinense;Santa Catarina;SC;Sul
Fraiburgo;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Frei Rogério;Curitibanos;Serrana;Santa Catarina;SC;Sul
Galvão;Xanxerê;Oeste Catarinense;Santa Catarina;SC;Sul
Garopaba;Tubarão;Sul Catarinense;Santa Catarina;SC;Sul
Garuva;Joinville;Norte Catarinense;Santa Catarina;SC;Sul
Gaspar;Blumenau;Vale do Itajaí;Santa Catarina;SC;Sul
Governador Celso Ramos;Florianópolis;Grande Florianópolis;Santa Catarina;SC;Sul
Grão-Pará;Tubarão;Sul Catarinense;Santa Catarina;SC;Sul
Gravatal;Tubarão;Sul Catarinense;Santa Catarina;SC;Sul
Guabiruba;Blumenau;Vale do Itajaí;Santa Catarina;SC;Sul
Guaraciaba;São Miguel do Oeste;Oeste Catarinense;Santa Catarina;SC;Sul
Guaramirim;Joinville;Norte Catarinense;Santa Catarina;SC;Sul
Guarujá do Sul;São Miguel do Oeste;Oeste Catarinense;Santa Catarina;SC;Sul
Guatambú;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Herval d'Oeste;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Ibiam;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Ibicaré;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Ibirama;Rio do Sul;Vale do Itajaí;Santa Catarina;SC;Sul
Içara;Criciúma;Sul Catarinense;Santa Catarina;SC;Sul
Ilhota;Itajaí;Vale do Itajaí;Santa Catarina;SC;Sul
Imaruí;Tubarão;Sul Catarinense;Santa Catarina;SC;Sul
Imbituba;Tubarão;Sul Catarinense;Santa Catarina;SC;Sul
Imbuia;Ituporanga;Vale do Itajaí;Santa Catarina;SC;Sul
Indaial;Blumenau;Vale do Itajaí;Santa Catarina;SC;Sul
Iomerê;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Ipira;Concórdia;Oeste Catarinense;Santa Catarina;SC;Sul
Iporã do Oeste;São Miguel do Oeste;Oeste Catarinense;Santa Catarina;SC;Sul
Ipuaçu;Xanxerê;Oeste Catarinense;Santa Catarina;SC;Sul
Ipumirim;Concórdia;Oeste Catarinense;Santa Catarina;SC;Sul
Iraceminha;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Irani;Concórdia;Oeste Catarinense;Santa Catarina;SC;Sul
Irati;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Irineópolis;Canoinhas;Norte Catarinense;Santa Catarina;SC;Sul
Itá;Concórdia;Oeste Catarinense;Santa Catarina;SC;Sul
Itaiópolis;Canoinhas;Norte Catarinense;Santa Catarina;SC;Sul
Itajaí;Itajaí;Vale do Itajaí;Santa Catarina;SC;Sul
Itapema;Itajaí;Vale do Itajaí;Santa Catarina;SC;Sul
Itapiranga;São Miguel do Oeste;Oeste Catarinense;Santa Catarina;SC;Sul
Itapoá;Joinville;Norte Catarinense;Santa Catarina;SC;Sul
Ituporanga;Ituporanga;Vale do Itajaí;Santa Catarina;SC;Sul
Jaborá;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Jacinto Machado;Araranguá;Sul Catarinense;Santa Catarina;SC;Sul
Jaguaruna;Tubarão;Sul Catarinense;Santa Catarina;SC;Sul
Jaraguá do Sul;Joinville;Norte Catarinense;Santa Catarina;SC;Sul
Jardinópolis;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Joaçaba;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Joinville;Joinville;Norte Catarinense;Santa Catarina;SC;Sul
José Boiteux;Rio do Sul;Vale do Itajaí;Santa Catarina;SC;Sul
Jupiá;Xanxerê;Oeste Catarinense;Santa Catarina;SC;Sul
Lacerdópolis;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Lages;Campos de Lages;Serrana;Santa Catarina;SC;Sul
Laguna;Tubarão;Sul Catarinense;Santa Catarina;SC;Sul
Lajeado Grande;Xanxerê;Oeste Catarinense;Santa Catarina;SC;Sul
Laurentino;Rio do Sul;Vale do Itajaí;Santa Catarina;SC;Sul
Lauro Müller;Criciúma;Sul Catarinense;Santa Catarina;SC;Sul
Lebon Régis;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Leoberto Leal;Tijucas;Grande Florianópolis;Santa Catarina;SC;Sul
Lindóia do Sul;Concórdia;Oeste Catarinense;Santa Catarina;SC;Sul
Lontras;Rio do Sul;Vale do Itajaí;Santa Catarina;SC;Sul
Luiz Alves;Blumenau;Vale do Itajaí;Santa Catarina;SC;Sul
Luzerna;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Macieira;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Mafra;Canoinhas;Norte Catarinense;Santa Catarina;SC;Sul
Major Gercino;Tijucas;Grande Florianópolis;Santa Catarina;SC;Sul
Major Vieira;Canoinhas;Norte Catarinense;Santa Catarina;SC;Sul
Maracajá;Araranguá;Sul Catarinense;Santa Catarina;SC;Sul
Maravilha;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Marema;Xanxerê;Oeste Catarinense;Santa Catarina;SC;Sul
Massaranduba;Joinville;Norte Catarinense;Santa Catarina;SC;Sul
Matos Costa;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Meleiro;Araranguá;Sul Catarinense;Santa Catarina;SC;Sul
Mirim Doce;Rio do Sul;Vale do Itajaí;Santa Catarina;SC;Sul
Modelo;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Mondaí;São Miguel do Oeste;Oeste Catarinense;Santa Catarina;SC;Sul
Monte Carlo;Curitibanos;Serrana;Santa Catarina;SC;Sul
Monte Castelo;Canoinhas;Norte Catarinense;Santa Catarina;SC;Sul
Morro da Fumaça;Criciúma;Sul Catarinense;Santa Catarina;SC;Sul
Morro Grande;Araranguá;Sul Catarinense;Santa Catarina;SC;Sul
Navegantes;Itajaí;Vale do Itajaí;Santa Catarina;SC;Sul
Nova Erechim;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Nova Itaberaba;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Nova Trento;Tijucas;Grande Florianópolis;Santa Catarina;SC;Sul
Nova Veneza;Criciúma;Sul Catarinense;Santa Catarina;SC;Sul
Novo Horizonte;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Orleans;Tubarão;Sul Catarinense;Santa Catarina;SC;Sul
Otacílio Costa;Campos de Lages;Serrana;Santa Catarina;SC;Sul
Ouro;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Ouro Verde;Xanxerê;Oeste Catarinense;Santa Catarina;SC;Sul
Paial;Concórdia;Oeste Catarinense;Santa Catarina;SC;Sul
Painel;Campos de Lages;Serrana;Santa Catarina;SC;Sul
Palhoça;Florianópolis;Grande Florianópolis;Santa Catarina;SC;Sul
Palma Sola;São Miguel do Oeste;Oeste Catarinense;Santa Catarina;SC;Sul
Palmeira;Campos de Lages;Serrana;Santa Catarina;SC;Sul
Palmitos;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Papanduva;Canoinhas;Norte Catarinense;Santa Catarina;SC;Sul
Paraíso;São Miguel do Oeste;Oeste Catarinense;Santa Catarina;SC;Sul
Passo de Torres;Araranguá;Sul Catarinense;Santa Catarina;SC;Sul
Passos Maia;Xanxerê;Oeste Catarinense;Santa Catarina;SC;Sul
Paulo Lopes;Florianópolis;Grande Florianópolis;Santa Catarina;SC;Sul
Pedras Grandes;Tubarão;Sul Catarinense;Santa Catarina;SC;Sul
Penha;Itajaí;Vale do Itajaí;Santa Catarina;SC;Sul
Peritiba;Concórdia;Oeste Catarinense;Santa Catarina;SC;Sul
Pescaria Brava;Tubarão;Sul Catarinense;Santa Catarina;SC;Sul
Petrolândia;Ituporanga;Vale do Itajaí;Santa Catarina;SC;Sul
Balneário Piçarras;Itajaí;Vale do Itajaí;Santa Catarina;SC;Sul
Pinhalzinho;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Pinheiro Preto;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Piratuba;Concórdia;Oeste Catarinense;Santa Catarina;SC;Sul
Planalto Alegre;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Pomerode;Blumenau;Vale do Itajaí;Santa Catarina;SC;Sul
Ponte Alta;Curitibanos;Serrana;Santa Catarina;SC;Sul
Ponte Alta do Norte;Curitibanos;Serrana;Santa Catarina;SC;Sul
Ponte Serrada;Xanxerê;Oeste Catarinense;Santa Catarina;SC;Sul
Porto Belo;Itajaí;Vale do Itajaí;Santa Catarina;SC;Sul
Porto União;Canoinhas;Norte Catarinense;Santa Catarina;SC;Sul
Pouso Redondo;Rio do Sul;Vale do Itajaí;Santa Catarina;SC;Sul
Praia Grande;Araranguá;Sul Catarinense;Santa Catarina;SC;Sul
Presidente Castello Branco;Concórdia;Oeste Catarinense;Santa Catarina;SC;Sul
Presidente Getúlio;Rio do Sul;Vale do Itajaí;Santa Catarina;SC;Sul
Presidente Nereu;Rio do Sul;Vale do Itajaí;Santa Catarina;SC;Sul
Princesa;São Miguel do Oeste;Oeste Catarinense;Santa Catarina;SC;Sul
Quilombo;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Rancho Queimado;Tabuleiro;Grande Florianópolis;Santa Catarina;SC;Sul
Rio das Antas;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Rio do Campo;Rio do Sul;Vale do Itajaí;Santa Catarina;SC;Sul
Rio do Oeste;Rio do Sul;Vale do Itajaí;Santa Catarina;SC;Sul
Rio dos Cedros;Blumenau;Vale do Itajaí;Santa Catarina;SC;Sul
Rio do Sul;Rio do Sul;Vale do Itajaí;Santa Catarina;SC;Sul
Rio Fortuna;Tubarão;Sul Catarinense;Santa Catarina;SC;Sul
Rio Negrinho;São Bento do Sul;Norte Catarinense;Santa Catarina;SC;Sul
Rio Rufino;Campos de Lages;Serrana;Santa Catarina;SC;Sul
Riqueza;São Miguel do Oeste;Oeste Catarinense;Santa Catarina;SC;Sul
Rodeio;Blumenau;Vale do Itajaí;Santa Catarina;SC;Sul
Romelândia;São Miguel do Oeste;Oeste Catarinense;Santa Catarina;SC;Sul
Salete;Rio do Sul;Vale do Itajaí;Santa Catarina;SC;Sul
Saltinho;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Salto Veloso;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Sangão;Tubarão;Sul Catarinense;Santa Catarina;SC;Sul
Santa Cecília;Curitibanos;Serrana;Santa Catarina;SC;Sul
Santa Helena;São Miguel do Oeste;Oeste Catarinense;Santa Catarina;SC;Sul
Santa Rosa de Lima;Tubarão;Sul Catarinense;Santa Catarina;SC;Sul
Santa Rosa do Sul;Araranguá;Sul Catarinense;Santa Catarina;SC;Sul
Santa Terezinha;Canoinhas;Norte Catarinense;Santa Catarina;SC;Sul
Santa Terezinha do Progresso;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Santiago do Sul;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Santo Amaro da Imperatriz;Florianópolis;Grande Florianópolis;Santa Catarina;SC;Sul
São Bernardino;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
São Bento do Sul;São Bento do Sul;Norte Catarinense;Santa Catarina;SC;Sul
São Bonifácio;Tabuleiro;Grande Florianópolis;Santa Catarina;SC;Sul
São Carlos;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
São Cristóvão do Sul;Curitibanos;Serrana;Santa Catarina;SC;Sul
São Domingos;Xanxerê;Oeste Catarinense;Santa Catarina;SC;Sul
São Francisco do Sul;Joinville;Norte Catarinense;Santa Catarina;SC;Sul
São João do Oeste;São Miguel do Oeste;Oeste Catarinense;Santa Catarina;SC;Sul
São João Batista;Tijucas;Grande Florianópolis;Santa Catarina;SC;Sul
São João do Itaperiú;Itajaí;Vale do Itajaí;Santa Catarina;SC;Sul
São João do Sul;Araranguá;Sul Catarinense;Santa Catarina;SC;Sul
São Joaquim;Campos de Lages;Serrana;Santa Catarina;SC;Sul
São José;Florianópolis;Grande Florianópolis;Santa Catarina;SC;Sul
São José do Cedro;São Miguel do Oeste;Oeste Catarinense;Santa Catarina;SC;Sul
São José do Cerrito;Campos de Lages;Serrana;Santa Catarina;SC;Sul
São Lourenço do Oeste;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
São Ludgero;Tubarão;Sul Catarinense;Santa Catarina;SC;Sul
São Martinho;Tubarão;Sul Catarinense;Santa Catarina;SC;Sul
São Miguel da Boa Vista;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
São Miguel do Oeste;São Miguel do Oeste;Oeste Catarinense;Santa Catarina;SC;Sul
São Pedro de Alcântara;Florianópolis;Grande Florianópolis;Santa Catarina;SC;Sul
Saudades;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Schroeder;Joinville;Norte Catarinense;Santa Catarina;SC;Sul
Seara;Concórdia;Oeste Catarinense;Santa Catarina;SC;Sul
Serra Alta;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Siderópolis;Criciúma;Sul Catarinense;Santa Catarina;SC;Sul
Sombrio;Araranguá;Sul Catarinense;Santa Catarina;SC;Sul
Sul Brasil;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Taió;Rio do Sul;Vale do Itajaí;Santa Catarina;SC;Sul
Tangará;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Tigrinhos;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Tijucas;Tijucas;Grande Florianópolis;Santa Catarina;SC;Sul
Timbé do Sul;Araranguá;Sul Catarinense;Santa Catarina;SC;Sul
Timbó;Blumenau;Vale do Itajaí;Santa Catarina;SC;Sul
Timbó Grande;Canoinhas;Norte Catarinense;Santa Catarina;SC;Sul
Três Barras;Canoinhas;Norte Catarinense;Santa Catarina;SC;Sul
Treviso;Criciúma;Sul Catarinense;Santa Catarina;SC;Sul
Treze de Maio;Tubarão;Sul Catarinense;Santa Catarina;SC;Sul
Treze Tílias;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Trombudo Central;Rio do Sul;Vale do Itajaí;Santa Catarina;SC;Sul
Tubarão;Tubarão;Sul Catarinense;Santa Catarina;SC;Sul
Tunápolis;São Miguel do Oeste;Oeste Catarinense;Santa Catarina;SC;Sul
Turvo;Araranguá;Sul Catarinense;Santa Catarina;SC;Sul
União do Oeste;Chapecó;Oeste Catarinense;Santa Catarina;SC;Sul
Urubici;Campos de Lages;Serrana;Santa Catarina;SC;Sul
Urupema;Campos de Lages;Serrana;Santa Catarina;SC;Sul
Urussanga;Criciúma;Sul Catarinense;Santa Catarina;SC;Sul
Vargeão;Xanxerê;Oeste Catarinense;Santa Catarina;SC;Sul
Vargem;Curitibanos;Serrana;Santa Catarina;SC;Sul
Vargem Bonita;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Vidal Ramos;Ituporanga;Vale do Itajaí;Santa Catarina;SC;Sul
Videira;Joaçaba;Oeste Catarinense;Santa Catarina;SC;Sul
Vitor Meireles;Rio do Sul;Vale do Itajaí;Santa Catarina;SC;Sul
Witmarsum;Rio do Sul;Vale do Itajaí;Santa Catarina;SC;Sul
Xanxerê;Xanxerê;Oeste Catarinense;Santa Catarina;SC;Sul
Xavantina;Concórdia;Oeste Catarinense;Santa Catarina;SC;Sul
Xaxim;Xanxerê;Oeste Catarinense;Santa Catarina;SC;Sul
Zortéa;Curitibanos;Serrana;Santa Catarina;SC;Sul
Balneário Rincão;Criciúma;Sul Catarinense;Santa Catarina;SC;Sul
Aceguá;Campanha Meridional;Sudoeste Rio-grandense;Rio Grande do Sul;RS;Sul
Água Santa;Passo Fundo;Noroeste Rio-grandense;Rio Grande do Sul;RS;Sul
Agudo;Restinga Seca;Centro Ocidental Rio-grandense;Rio Grande do Sul;RS;Sul
Ajuricaba;Ijuí;Noroeste Rio-grandense;Rio Grande do Sul;RS;Sul
Alecrim;Santa Rosa;Noroeste Rio-grandense;Rio Grande do Sul;RS;Sul
Alegrete;Campanha Ocidental;Sudoeste Rio-grandense;Rio Grande do Sul;RS;Sul
Alegria;Ijuí;Noroeste Rio-grandense;Rio Grande do Sul;RS;Sul
Almirante Tamandaré do Sul;Carazinho;Noroeste Rio-grandense;Rio Grande do Sul;RS;Sul
Alpestre;Frederico Westphalen;Noroeste Rio-grandense;Rio Grande do Sul;RS;Sul
Alto Alegre;Cruz Alta;Noroeste Rio-grandense;Rio Grande do Sul;RS;Sul
Alto Feliz;Montenegro;Metropolitana de Porto Alegre;Rio Grande do Sul;RS;Sul
Alvorada;Porto Alegre;Metropolitana de Porto Alegre;Rio Grande do Sul;RS;Sul
Amaral Ferrador;Serras de Sudeste;Sudeste Rio-grandense;Rio Grande do Sul;RS;Sul
Ametista do Sul;Frederico Westphalen;Noroeste Rio-grandense;Rio Grande do Sul;RS;Sul
André da Rocha;Guaporé;Nordeste Rio-grandense;Rio Grande do Sul;RS;Sul
Anta Gorda;Guaporé;Nordeste Rio-grandense;Rio Grande do Sul;RS;Sul
Antônio Prado;Caxias do Sul;Nordeste Rio-grandense;Rio Grande do Sul;RS;Sul
Arambaré;Camaquã;Metropolitana de Porto Alegre;Rio Grande do Sul;RS;Sul
Araricá;Porto Alegre;Metropolitana de Porto Alegre;Rio Grande do Sul;RS;Sul
Aratiba;Erechim;Noroeste Rio-grandense;Rio Grande do Sul;RS;Sul
Arroio do Meio;Lajeado-Estrela;Centro Oriental Rio-grandense;Rio Grande do Sul;RS;Sul
Arroio do Sal;Osório;Metropolitana de Porto Alegre;Rio Grande do Sul;RS;Sul
Arroio do Padre;Pelotas;Sudeste Rio-grandense;Rio Grande do Sul;RS;Sul
Arroio dos Ratos;São Jerônimo;Metropolitana de Porto Alegre;Rio Grande do Sul;RS;Sul
Arroio do Tigre;Santa Cruz do Sul;Centro Oriental Rio-grandense;Rio Grande do Sul;RS;Sul
Arroio Grande;Jaguarão;Sudeste Rio-grandense;Rio Grande do Sul;RS;Sul
Arvorezinha;Guaporé;Nordeste Rio-grandense;Rio Grande do Sul;RS;Sul
Augusto Pestana;Ijuí;Noroeste Rio-grandense;Rio Grande do Sul;RS;Sul
Áurea;Erechim;Noroeste Rio-grandense;Rio Grande do Sul;RS;Sul
Bagé;Campanha Meridional;Sudoeste Rio-grandense;Rio Grande do Sul;RS;Sul
Balneário Pinhal;Osório;Metropolitana de Porto Alegre;Rio Grande do Sul;RS;Sul
Barão;Montenegro;Metropolitana de Porto Alegre;Rio Grande do Sul;RS;Sul
Barão de Cotegipe;Erechim;Noroeste Rio-grandense;Rio Grande do Sul;RS;Sul
Barão do Triunfo;São Jerônimo;Metropolitana de Porto Alegre;Rio Grande do Sul;RS;Sul
Barracão;Sananduva;Noroeste Rio-grandense;Rio Grande do Sul;RS;Sul
Barra do Guarita;Três Passos;Noroeste Rio-grandense;Rio Grande do Sul;RS;Sul
Barra do Quaraí;Campanha Ocidental;Sudoeste Rio-grandense;Rio Grande do Sul;RS;Sul
Barra do Ribeiro;Camaquã;Metropolitana de Porto Alegre;Rio Grande do Sul;RS;Sul
Barra do Rio Azul;Erechim;Noroeste Rio-grandense;Rio Grande do Sul;RS;Sul
